Season,Team,Bat_Player,Bat_Mat,Bat_Inns,Bat_NO,Bat_Runs,Bat_HS,Bat_Ave,Bat_BF,Bat_SR,Bat_100,Bat_50,Bat_0,Bat_4s,Bat_6s,Bat_,Bowl_Player,Bowl_Mat,Bowl_Inns,Bowl_Overs,Bowl_Mdns,Bowl_Runs,Bowl_Wkts,Bowl_BBI,Bowl_Ave,Bowl_Econ,Bowl_SR,Bowl_4,Bowl_5,Bowl_
2023,Rajasthan Royals,RS Fernando,1,1,0,9,9,9.00,10,90.00,0,0,0,1,0,,KIC Asalanka,6,-,-,-,-,-,-,-,-,-,-,-,
2023,Rajasthan Royals,N Thushara,1,1,0,6,6,6.00,5,120.00,0,0,0,1,0,,KNA Bandara,1,-,-,-,-,-,-,-,-,-,-,-,
2023,Rajasthan Royals,N Vimukthi,1,1,0,6,6,6.00,12,50.00,0,0,0,0,0,,L Croospulle,1,-,-,-,-,-,-,-,-,-,-,-,
2023,Rajasthan Royals,MNK Fernando,1,1,0,5,5,5.00,8,62.50,0,0,0,1,0,,S Daniel,1,-,-,-,-,-,-,-,-,-,-,-,
2023,Rajasthan Royals,M Theekshana,6,4,1,3,2,1.00,15,20.00,0,0,1,0,0,,MNK Fernando,1,-,-,-,-,-,-,-,-,-,-,-,
2023,Rajasthan Royals,WIA Fernando,1,1,0,1,1,1.00,3,33.33,0,0,0,0,0,,WIA Fernando,1,-,-,-,-,-,-,-,-,-,-,-,
2023,Rajasthan Royals,D Madushanka,5,3,0,1,1,0.33,4,25.00,0,0,2,0,0,,LU Igalagamage,1,-,-,-,-,-,-,-,-,-,-,-,
2023,Rajasthan Royals,Pramod Madushan,3,1,0,1,1,1.00,3,33.33,0,0,0,0,0,,BKG Mendis,6,-,-,-,-,-,-,-,-,-,-,-,
2023,Rajasthan Royals,SMLD Samarakoon,1,1,0,1,1,1.00,3,33.33,0,0,0,0,0,,P Nissanka,6,-,-,-,-,-,-,-,-,-,-,-,
2023,Rajasthan Royals,LU Igalagamage,1,1,0,0,0,0.00,3,0.00,0,0,1,0,0,,MDKJ Perera,3,-,-,-,-,-,-,-,-,-,-,-,
2023,Rajasthan Royals,CBRLS Kumara,1,-,-,-,-,-,-,-,-,-,-,-,-,,PBB Rajapaksa,2,-,-,-,-,-,-,-,-,-,-,-,
2024,Chennai Super Kings,RR Hendricks,22,22,1,569,117,27.09,424,134.19,1,3,3,52,30,,OEG Baartman,12,12,44.0,1,327,17,4/11,19.23,7.43,15.5,1,0,
2024,Chennai Super Kings,T Stubbs,18,16,4,431,76,35.91,343,125.65,0,1,1,40,13,,A Nortje,11,11,41.0,0,274,15,4/7,18.26,6.68,16.4,1,0,
2024,Chennai Super Kings,DA Miller,14,13,2,323,82,29.36,273,118.31,0,2,2,18,21,,KA Maharaj,12,12,43.0,0,311,14,3/27,22.21,7.23,18.4,0,0,
2024,Chennai Super Kings,Q de Kock,12,12,0,307,74,25.58,210,146.19,0,2,1,29,17,,K Rabada,9,9,31.0,2,195,13,3/18,15.00,6.29,14.3,0,0,
2024,Chennai Super Kings,H Klaasen,15,14,3,278,52,25.27,216,128.70,0,1,1,13,19,,T Shamsi,5,5,16.5,0,128,11,4/19,11.63,7.60,9.1,1,0,
